sample_collect_date,pcr_target_avg_conc,tp
2021-08-04,6181,AWWTP
2021-08-09,35200,AWWTP
2021-08-11,5503,AWWTP
2021-08-16,74688,AWWTP
2021-08-18,100043,AWWTP
2021-08-23,177591,AWWTP
2021-08-25,181790,AWWTP
2021-08-30,387368,AWWTP
2021-09-01,467470,AWWTP
2021-09-08,489758,AWWTP
2021-09-13,287207.1517,AWWTP
2021-09-15,188262,AWWTP
2021-09-20,110344,AWWTP
2021-09-22,69807,AWWTP
2021-09-27,195645,AWWTP
2021-09-29,120507,AWWTP
2021-10-04,12722,AWWTP
2021-10-06,550458,AWWTP
2021-10-11,52467,AWWTP
2021-10-13,115199,AWWTP
2021-10-18,128068,AWWTP
2021-10-20,470075,AWWTP
2021-10-27,96285,AWWTP
2021-10-27,65752,AWWTP
2021-11-01,40931,AWWTP
2021-11-03,49458,AWWTP
2021-11-08,41856,AWWTP
2021-11-10,60761,AWWTP
2021-11-15,347623,AWWTP
2021-11-17,197202,AWWTP
2021-11-22,151636,AWWTP
2021-11-29,68885,AWWTP
2021-12-01,138212,AWWTP
2021-12-06,514856,AWWTP
2021-12-08,369571,AWWTP
2021-12-13,99089,AWWTP
2021-12-15,160314,AWWTP
2021-12-20,82828,AWWTP
,,AWWTP
2022-01-05,2508247,AWWTP
2022-01-10,573102,AWWTP
2022-01-12,922033,AWWTP
2022-01-19,955423,AWWTP
2022-01-24,523456,AWWTP
2022-01-26,745302,AWWTP
2022-01-31,341645,AWWTP
2022-02-02,181916,AWWTP
2022-02-07,87624,AWWTP
2022-02-09,55505,AWWTP
2022-02-14,107173,AWWTP
2022-02-16,26970,AWWTP
2022-02-21,21926,AWWTP
2022-02-23,32011,AWWTP
2022-02-28,18409,AWWTP
2022-03-02,24091,AWWTP
2022-03-16,12669,AWWTP
2022-03-21,10114,AWWTP
2022-03-23,8145,AWWTP
2022-03-28,3900,AWWTP
2022-03-30,48787,AWWTP
2022-04-04,54914,AWWTP
2022-04-06,92411,AWWTP
2022-04-11,83857,AWWTP
2022-04-13,102308,AWWTP
2022-04-18,131073,AWWTP
2022-04-20,199224,AWWTP
,,AWWTP
2022-05-16,145058,AWWTP
2022-05-18,209285,AWWTP
2022-05-23,355526,AWWTP
2022-05-25,285260,AWWTP
2022-06-01,466479,AWWTP
2022-06-06,182744,AWWTP
2022-06-08,512416,AWWTP
2022-06-13,858334,AWWTP
2022-06-15,440006,AWWTP
2022-06-20,477209,AWWTP
2022-06-22,516254,AWWTP
2022-06-27,386185,AWWTP
2022-06-29,697341,AWWTP
2022-07-04,1478070,AWWTP
2022-07-06,1066327,AWWTP
2022-07-11,1159132,AWWTP
2022-07-13,1198227,AWWTP
2022-07-18,713278,AWWTP
2022-07-20,1366383,AWWTP
2022-07-25,239406,AWWTP
2022-07-27,312635,AWWTP
2022-08-01,465041,AWWTP
2022-08-03,1495660,AWWTP
2022-08-08,942276,AWWTP
2022-08-10,564165,AWWTP
2022-08-15,219732,AWWTP
2022-08-17,257565,AWWTP
2022-08-22,326569,AWWTP
2022-08-24,427895,AWWTP
2022-08-29,459611,AWWTP
2022-08-31,783376,AWWTP
2022-09-05,521895,AWWTP
2022-09-07,661829,AWWTP
2022-09-12,360159,AWWTP
2022-09-14,190318,AWWTP
2022-09-19,154903,AWWTP
2022-09-21,228214,AWWTP
2022-09-26,119377,AWWTP
2022-09-28,51588,AWWTP
2022-10-03,50538,AWWTP
2022-10-05,64719,AWWTP
2022-10-10,60669,AWWTP
2022-10-12,130098,AWWTP
2022-10-17,97943,AWWTP
2022-10-19,171845,AWWTP
2022-10-24,134271,AWWTP
2022-10-26,196376,AWWTP
2022-10-31,64742,AWWTP
2022-11-02,156286,AWWTP
2022-11-07,338285,AWWTP
2022-11-09,110946,AWWTP
2022-11-14,110549,AWWTP
2022-11-16,101849,AWWTP
2022-11-22,77759,AWWTP
2022-11-28,189745,AWWTP
2022-11-30,202073,AWWTP
2022-12-05,172306,AWWTP
2022-12-07,264989,AWWTP
2022-12-12,136448,AWWTP
2022-12-14,148824,AWWTP
2022-12-19,156876,AWWTP
2022-12-21,126765,AWWTP
2022-12-23,,AWWTP
2023-01-04,180523,AWWTP
2023-01-09,90529,AWWTP
2023-01-11,266756,AWWTP
2023-01-16,151163,AWWTP
2023-01-18,183093,AWWTP
2023-01-25,334196,AWWTP
2023-01-30,341113,AWWTP
2023-02-01,314460,AWWTP
2023-02-06,458219,AWWTP
2023-02-08,596072,AWWTP
2023-02-13,314528,AWWTP
2023-02-15,703238,AWWTP
2023-02-20,269523,AWWTP
2023-02-22,436438,AWWTP
2023-02-27,339721,AWWTP
2023-03-01,172490,AWWTP
2023-03-06,91802,AWWTP
2023-03-08,90987,AWWTP
2023-03-13,88501,AWWTP
2023-03-15,110482,AWWTP
2023-03-20,83843,AWWTP
2023-03-22,79215,AWWTP
2023-03-27,118954,AWWTP
2023-03-29,241255,AWWTP
2023-04-03,83495,AWWTP
2023-04-05,450253,AWWTP
2023-04-10,109681,AWWTP
2023-04-12,158956,AWWTP
2023-04-17,65532,AWWTP
2023-04-19,310325,AWWTP
2023-04-24,35787,AWWTP
2023-04-26,131631,AWWTP
2023-05-01,317291,AWWTP
2023-05-08,45660,AWWTP
2023-05-10,26013,AWWTP
2023-05-15,20224,AWWTP
2023-05-17,31184,AWWTP
2023-05-22,12684,AWWTP
2023-05-24,42697,AWWTP
2023-05-29,24266,AWWTP
2023-05-31,45332,AWWTP
2023-07-15,,AWWTP
