reporting_jurisdiction,county_names,other_jurisdiction,zipcode,population_served,sample_location,sample_location_specify,institution_type,wwtp_name,wwtp_jurisdiction,capacity_mgd,sample_type,sample_matrix,concentration_method,extraction_method,rec_eff_target_name,rec_eff_spike_matrix,rec_eff_spike_conc,pcr_target,pcr_gene_target,pcr_gene_target_ref,pcr_type,lod_ref,quant_stan_type,stan_ref,inhibition_method,num_no_target_control,sample_collect_date,sample_collect_time,flow_rate,sample_id,lab_id,test_result_date,pcr_target_units,pcr_target_avg_conc,lod_sewage,ntc_amplify,rec_eff_percent,inhibition_detect,inhibition_adjust,hum_frac_mic_conc,hum_frac_mic_unit,hum_frac_target_mic,hum_frac_target_mic_ref,,,,,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,7:56,0.06828,D_09132022,13,2022-09-14,copies/L wastewater,4631,964,no,2.08,not tested,no,3689821,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,1884,upstream  ,OU_L,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:08,0.07536,L_09132022,13,2022-09-14,copies/L wastewater,36418,964,no,6.97,not tested,no,12214813,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,4401,upstream  ,OU_R,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:20,0.17604,R_09132022,13,2022-09-14,copies/L wastewater,20233,964,no,9.91,not tested,no,5318237,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,1681,upstream  ,OU_TP6,higher ed other,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,7:51,0.06724,TP6_09132022,13,2022-09-14,copies/L wastewater,1570,964,no,10.14,not tested,no,10734670,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,679,upstream  ,OU_TP9,higher ed other,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:00,0.02716,TP9_09132022,13,2022-09-14,copies/L wastewater,3660,964,no,8.79,not tested,no,14984643,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,900,upstream  ,OU_TP16,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:08,0.036,TP16_09132022,13,2022-09-14,copies/L wastewater,25012,964,no,14.09,not tested,no,9897750,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,517,upstream  ,OU_TP22,higher ed dorm,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:20,0.02068,TP22_09132022,13,2022-09-14,copies/L wastewater,21928,964,no,10.30,not tested,no,9409804,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,672,upstream  ,OU_TP25,higher ed dorm,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-13,8:12,0.02688,TP25_09132022,13,2022-09-14,copies/L wastewater,2688,964,no,6.56,not tested,no,10668527,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-18,8:00,0.06828,D_09182022,13,2022-09-19,copies/L wastewater,5637,964,no,2.28,not tested,no,3370000,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
OH,39009,,45701,1884,upstream  ,OU_L,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2022-09-18,8:20,0.07536,L_09182022,13,2022-09-19,copies/L wastewater,5157,964,no,5.54,not tested,no,12100000,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",,,,,,,,,,
